FECHA PUBLICACIÓN,TIPO MEDIO,MEDIO,IMPORTE,RAZON SOCIAL MEDIO,CAMPAÑA
01/01/2016,WEB,REVISTA DIGITAL EVIDENCIAS,13000,TELÉMACO S.A.,BUENOS AIRES PLAYA
01/01/2016,WEB,www.7miradas.com,22000,TELÉMACO S.A.,VERANO
01/01/2016,WEB,www.datapolitica.com,33800,SILMAR PRODUCCIONES SRL,BUENOS AIRES PLAYA
01/01/2016,WEB,www.estacionaz.com,28250,DAK GRUPO CREATIVO SRL ,VERANO
01/01/2016,WEB,www.haceinstantes.net,34500,DAK GRUPO CREATIVO SRL ,VERANO
01/01/2016,WEB,www.horasminutosysegundos.com,12000,DAK GRUPO CREATIVO SRL ,VERANO
01/01/2016,WEB,www.lapoliticaonline.com,11250,FIDANZA IGNACIO AMILCAR,VERANO
01/01/2016,WEB,www.lapoliticaonline.com,26250,FIDANZA IGNACIO AMILCAR,VERANO
01/01/2016,MEDIOS GRAFICOS,FUNDAMIND,15600,FUNDACION ASISTENCIAL MATERNO INFANTIL DE AYUDA A NIÑOS CARENCIADOS,ECOPARQUE
01/01/2016,WEB,www.cineparavos.com,15373,GRUPO VIA S.A.,VERANO
01/01/2016,WEB,www.cuponstar.com,21960,GRUPO VIA S.A.,VERANO
01/01/2016,WEB,www.plateabaja.com,15373,GRUPO VIA S.A.,VERANO
02/01/2016,WEB,REVISTA DIGITAL EVIDENCIAS,15000,TELÉMACO S.A.,BUENOS AIRES PLAYA
02/01/2016,WEB,www.7miradas.com,25000,TELÉMACO S.A.,VERANO
02/01/2016,WEB,www.bigbangnews.com,282341.53,LA MAÑA S.R.L. / QUINTA COLUMNA,BUENOS AIRES PLAYA
02/01/2016,WEB,www.datapolitica.com,33800,SILMAR PRODUCCIONES SRL,BUENOS AIRES PLAYA
02/01/2016,WEB,www.estacionaz.com,28250,DAK GRUPO CREATIVO SRL ,VERANO
02/01/2016,WEB,www.haceinstantes.net,34500,DAK GRUPO CREATIVO SRL ,VERANO
02/01/2016,WEB,www.horasminutosysegundos.com,12000,DAK GRUPO CREATIVO SRL ,VERANO
02/01/2016,WEB,www.lapoliticaonline.com,22500,FIDANZA IGNACIO AMILCAR,BUENOS AIRES PLAYA
02/01/2016,WEB,www.lapoliticaonline.com,52500,FIDANZA IGNACIO AMILCAR,BUENOS AIRES PLAYA
02/01/2016,WEB,www.cineparavos.com,15373,GRUPO VIA S.A.,VERANO
02/01/2016,WEB,www.cuponstar.com,21960,GRUPO VIA S.A.,VERANO
02/01/2016,WEB,www.margendelmundo.com.ar,36000,LA CORNISA PRODUCCIONES S.A.,VERANO
02/01/2016,WEB,www.plateabaja.com,15373,GRUPO VIA S.A.,VERANO
02/05/2016,WEB,www.metro951.com,30492,Radiodifusora Metro S.A.,VERANO EN LA CIUDAD 2016
02/05/2016,WEB,www.mundotkm.com,30250,VI-DA PRODUCCIONES S.A.,VERANO EN LA CIUDAD 
02/08/2016,WEB,www.continental.com.ar,24200,LS4 RADIO CONTINENTAL SOCIEDAD ANONIMA,VERANO EN LA CIUDAD 2016
02/08/2016,WEB,www.los40principales.com.ar,36300,LS4 RADIO CONTINENTAL SOCIEDAD ANONIMA,VERANO EN LA CIUDAD 2016
02/11/2016,WEB,www.taringa.net,72600,LATIN AMERICA MEDIA AND SOFT S.A.,VERANO EN LA CIUDAD
02/11/2016,WEB,www.infobae.com,90750,THX MEDIOS S.A.,VERANO EN LA CIUDAD 2016
02/16/2016,WEB,www.clarin.com,111078,ARTE GRAFICO EDITORIAL ARGENTINO SA,VERANO EN LA CIUDAD 2016
02/17/2016,WEB,www.perfil.com,72600,EDITORIAL PERFIL S.A.,VERANO EN LA CIUDAD 
02/28/2016,WEB,www.facebook.com,89767.9,FACEBOOK,BUENOS AIRES PLAYA
02/28/2016,WEB,www.google.com,6600.56,GOOGLE,BUENOS AIRES PLAYA
02/28/2016,WEB,www.google.com,111399.32,GOOGLE,BUENOS AIRES PLAYA
02/28/2016,WEB,www.google.com,5628.63,GOOGLE,VERANO EN LA CIUDAD
02/28/2016,WEB,www.google.com,38313.22,GOOGLE,VERANO EN LA CIUDAD
02/29/2016,WEB,SPOTIFY,59048,IMS ARGENTINA SRL,VERANO
02/29/2016,WEB,www.facebook.com,45033.64,FACEBOOK,VERANO EN LA CIUDAD 2016
02/29/2016,WEB,www.girabsas.com.ar,13000,ZUMBA S.A,VERANO EN LA CIUDAD 2016
02/29/2016,WEB,www.iprofesional.com,90750,EMPRENDIMIENTOS CORPORATIVOS S.A.,VERANO EN LA CIUDAD 2016
02/29/2016,WEB,www.clarin.com/espacio-clarin,145200,ARTE GRAFICO EDITORIAL ARGENTINO SA,VERANO EN LA CIUDAD 2016
03/01/2016,WEB,LANUEVAMETROPOLIS.COM.AR,5000,ANDREA GLIKMAN,DENGUE
03/01/2016,WEB,REVISTA DIGITAL EVIDENCIAS,15000,TELÉMACO S.A.,DENGUE
03/01/2016,WEB,www.15minutos.com.ar,25000,IDEAR MEDIA SA,DENGUE
03/01/2016,WEB,www.7miradas.com,25000,TELÉMACO S.A.,DENGUE
03/01/2016,WEB,www.adnciudad.com,15000,PERUJO RIVAS MARIA ROBERTA,DENGUE
03/01/2016,WEB,www.aim.com.ar,8050,AGENCIA ISLAMICA DE NOTICIAS S.A.AGENCIA ISLAMICA DE NOTICIAS S.A.,DENGUE
03/01/2016,WEB,www.amia.com.ar,13800,ASOCIACION MUTUAL ISRAELITA ARGENTINA,DENGUE
03/01/2016,WEB,www.bigbangnews.com,282341.53,LA MAÑA S.R.L. / QUINTA COLUMNA,DENGUE
03/01/2016,WEB,www.buenosairesdiario.com,21450,VELARDI LORENA VERONICA,DENGUE
03/01/2016,WEB,www.buenosairesmequiere.com,11700,Patricia Anahi Garcia,DENGUE
03/01/2016,WEB,www.comunacero.com.ar,9000,TRES ELES PRODUCCIONES SRL,DENGUE
03/01/2016,WEB,www.dariolopreite.com.ar,8000,EN EL MEDIO PRODUCCIONES SRL ,DENGUE
03/01/2016,WEB,www.datapolitica.com,33800,SILMAR PRODUCCIONES SRL,DENGUE
03/01/2016,WEB,www.defiendase.com,10000,COMARIN COMUNICACIONES Y MARKETING SRL ,DENGUE
03/01/2016,WEB,www.diariodecultura.com.ar,10000,LOPEZ DANIEL HORACIO,DENGUE
03/01/2016,WEB,www.diarioveloz.com.ar,60000,COMPAÑIA GENERAL DE PRODUCCIONES SA / INTERLOCK SA,DENGUE
03/01/2016,WEB,www.ejes.com,10000,EJES SA,DENGUE
03/01/2016,WEB,www.empleos.amia.org.ar,13000,ASOCIACION MUTUAL ISRAELITA ARGENTINA,DENGUE
03/01/2016,WEB,www.enciclomedios.com,24400,RINOCERONTE PRODUCCIONES SA / PANOPTICO SRL,DENGUE
03/01/2016,WEB,www.estacionaz.com,28250,DAK GRUPO CREATIVO SRL ,DENGUE
03/01/2016,WEB,www.expedientepolitico.com.ar,5000,PIZZI NICOLAS ANTONIO,DENGUE
03/01/2016,WEB,www.generaciona.com.ar,6000,JXA SRL / JAMEOS S.A.,DENGUE
03/01/2016,WEB,www.hablemosdepolitica.com.ar,3630,ANGEL PESCE,DENGUE
03/01/2016,WEB,www.haceinstantes.net,34500,DAK GRUPO CREATIVO SRL ,DENGUE
03/01/2016,WEB,www.haciendofoconews.com.ar,5000,RODOLFO HECTOR HERRERA,DENGUE
03/01/2016,WEB,www.horasminutosysegundos.com,18000,DAK GRUPO CREATIVO SRL ,DENGUE
03/01/2016,WEB,www.indgraphicdesign.com.ar,4000,NICOLAS DURE,DENGUE
03/01/2016,WEB,www.lapoliticaonline.com,27000,FIDANZA IGNACIO AMILCAR,DENGUE
03/01/2016,WEB,www.lapoliticaonline.com,63000,FIDANZA IGNACIO AMILCAR,DENGUE
03/01/2016,WEB,www.luisnovaresio.com.ar,25000,COMUNICACION PUBLICITARIA SRL ,DENGUE
03/01/2016,WEB,www.marabuntaonline.com,6000,JAMEOS SA,DENGUE
03/01/2016,WEB,www.milimcultural.com.ar,3450,ALICIA ESTER VISCHNIVETZKY,DENGUE
03/01/2016,WEB,www.monicagutierrez.com.ar,14400,RAPPORTO S.A.,DENGUE
03/01/2016,WEB,www.notiar.com.ar,6000,GRUPO INFORMATIVO NOTIAR SRL,DENGUE
03/01/2016,WEB,www.noticiasbaires.com.ar,31590,GUERRERO LEDEZMA MARTA DELICIA,DENGUE
03/01/2016,WEB,www.politicasypublicas.com,10000,CAMISAY,DENGUE
03/01/2016,WEB,www.proyectogeo.com,9000,MIROL ESTEBAN ANIBAL,DENGUE
03/01/2016,WEB,www.revistameta.com.ar,4000,FERNANDO EMILIO CASALS,DENGUE
03/01/2016,WEB,www.sanlorenzoprimero.com.ar,5000,LEONARDO DAMIAN ESPINOSA ANZOATEGUI,DENGUE
03/01/2016,WEB,www.semilleroazulgrana.com.ar,5000,CRISTIAN DAMIAN PALADINO,DENGUE
03/01/2016,WEB,www.todociencia.com,7000,C Y M PUBLICIDAD S.R.L.,DENGUE
03/01/2016,WEB,www.urgente24.com,25000,HORA 25 SRL,DENGUE
03/01/2016,MEDIOS GRAFICOS,PERIODICO PERU 160,6000,SONICH ALEJANDRO PEDRO ,DENGUE
03/01/2016,MEDIOS GRAFICOS,PLANEANDO SOBRE BUE,17696.25,COMARIN COMUNICACIONES Y MARKETING SRL ,DENGUE
03/01/2016,WEB,www.aica.org,14375,AGENCIA INFORMATIVA CATOLICA ARGENTINA ,DENGUE
03/01/2016,WEB,www.seccionciudad.com,8640,RODEGHIERO DANIEL ESTEBAN,DENGUE
03/01/2016,WEB,www.cineparavos.com,18447.6,GRUPO VIA S.A.,DENGUE
