long,lat,id,plaza,tipo,tipo_norma,materiales,dias_y_horario,cooperativa,calle,altura,calle2,direccion,barrio,comuna,observaciones
-58.4653094716601,-34.567226390163,1,Plaza Castelli,Punto Verde Con Atención,punto_verde_con_atencion,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Miércoles a Domingos de 11 a 19hs.,Amanecer,Conde,0,Juramento,CONDE y JURAMENTO,Belgrano,Comuna 13,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.424945081451,-34.5892187395623,2,Plaza Armenia,Punto Verde Con Atención,punto_verde_con_atencion,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor / Aceite vegetal usado,Miércoles a Domingos de 11 a 19hs.,Ceibo,Malabia,0,Costa Rica,MALABIA y COSTA RICA,Palermo,Comuna 14,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.468391718268,-34.5470867941395,3,Plaza Balcarce,Punto Verde Con Atención,punto_verde_con_atencion,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor / Aceite vegetal usado,Miércoles a Domingos de 11 a 19hs.,Madreselva,Manzanares,0,Vuelta de Obligado,MANZANARES y VUELTA DE OBLIGADO,Nuñez,Comuna 13,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.503883870836106,-34.5763132835616,4,Plaza Leandro N. Alem,Punto Verde Con Atención,punto_verde_con_atencion,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor / Aceite vegetal usado,Miércoles a Domingos de 11 a 19hs.,Alamo,Artigas,0,Larsen,"ARTIGAS, JOSE GERVASIO, GRAL. y LARSEN",Villa Pueyrredon,Comuna 12,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.4834518640455,-34.629625512447,5,Plaza Vélez Sarfield,Punto Verde Con Atención,punto_verde_con_atencion,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor / Aceite vegetal usado,Miércoles a Domingos de 11 a 19hs.,Amanecer,Av. Avellaneda,0,Chivilcoy,AVELLANEDA AV. y CHIVILCOY,Floresta,Comuna 10,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.5166317280531,-34.649461448564104,6,Parque Santojanni,Punto Verde Especial,punto_verde_especial,Aparatos de informática y comunicación (hasta 3 unid. y accesorios) /pequeños electrodomésticos (hasta 3 un.)/ papel / cartón / metal / vidrio / plástico / telgopor / tetra-brik / Aceite Vegetal usado,Miércoles a Domingos de 11 a 19hs.,Recolectores del Oeste,Lisandro de La Torre,0,Patrón,"DE LA TORRE, LISANDRO y PATRON",Liniers,Comuna 9,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)"
-58.4402033889077,-34.661767700827106,7,Estación Villa Soldati,Punto Verde Con Atención,punto_verde_con_atencion,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor / Aceite vegetal usado,Miércoles a Domingos de 11 a 19hs.,Baires Cero,Lucio correa morales,0,Lafuente,"CORREA MORALES, LUCIO y LAFUENTE",Villa Soldati,Comuna 8,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.4419608716794,-34.6357169970937,8,Parque Chacabuco,Punto Verde Con Atención,punto_verde_con_atencion,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Miércoles a Domingos de 11 a 19hs.,Amanecer,Av. Asamblea,0,Hortiguera,ASAMBLEA AV. y HORTIGUERA,Parque Chacabuco,Comuna 7,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.4189191695011,-34.6053130113315,9,Plaza Almagro,Punto Verde Especial,punto_verde_especial,Aparatos de informática y comunicación (hasta 3 unid. y accesorios) /pequeños electrodomésticos (hasta 3 un.)/ papel / cartón / metal / vidrio / plástico / telgopor / tetra-brik / Aceite Vegetal usado,Miércoles a Domingos de 11 a 19hs.,RUO,Sarmiento,0,Bulnes,SARMIENTO y BULNES,Almagro,Comuna 5,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)"
-58.374541592578794,-34.6376736948918,10,Plaza Colombia,Punto Verde Con Atención,punto_verde_con_atencion,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor / Aceite vegetal usado,Miércoles a Domingos de 11 a 19hs.,El Trebol,av. montes de oca,0,brandsen,"MONTES DE OCA, MANUEL AV. y BRANDSEN",Barracas,Comuna 4,"Para entregar los materiales, éstos deben estar limpios y secos"
